#{"t_start": 1747926801.86434, "env_id": "None"}
r,l,t
1.072326,365,593.356787
0.830035,365,593.56159
0.877272,365,593.762928
1.196591,365,596.051944
1.084197,365,596.475426
0.98744,365,596.898715
0.881884,365,597.329717
1.143962,365,597.745386
1.005484,365,600.365336
1.059197,365,600.566982
0.93438,365,600.762222
1.172237,365,600.966431
1.075895,365,601.16685
0.759181,365,601.370432
1.006394,365,602.827044
1.120919,365,603.04812
0.878797,365,603.248933
0.966587,365,603.438145
0.997996,365,603.65134
0.867089,365,605.593015
0.986838,365,606.009546
1.121146,365,606.447164
0.805753,365,606.881466
1.103072,365,607.308366
1.058194,365,607.744576
0.909083,365,609.958308
0.998564,365,610.16577
0.954818,365,610.338728
0.921843,365,610.527218
1.00782,365,610.712861
0.968814,365,610.88695
1.059632,365,612.309888
0.983006,365,612.529512
1.175029,365,612.734009
1.030495,365,612.938195
1.15502,365,613.133066
1.271444,365,614.722145
0.94017,365,614.960803
1.420176,365,615.165063
1.179793,365,615.367804
1.234914,365,615.557111
1.175709,365,615.775079
0.970314,365,617.615479
1.134838,365,617.807065
1.045769,365,618.014554
1.305487,365,618.212742
1.256709,365,618.417196
1.169836,365,618.624837
0.966962,365,620.196398
0.837383,365,620.38545
0.920897,365,620.576571
0.9516,365,620.777931
0.82827,365,620.998657
0.905296,365,623.396055
1.1986,365,623.841209
0.954574,365,624.25885
0.86635,365,624.695612
0.958392,365,625.115824
1.003409,365,625.544521
0.822467,365,628.195925
0.936496,365,628.631215
1.290108,365,629.059043
0.834868,365,629.480352
1.120407,365,629.912548
0.986986,365,632.148379
0.892463,365,632.363439
1.06631,365,632.567485
0.814665,365,632.773383
1.133473,365,632.959515
1.137002,365,633.163041
1.025766,365,634.646926
1.078592,365,634.851513
1.040459,365,635.060115
1.027337,365,635.256969
1.035991,365,635.46852
0.751738,365,635.661643
1.03295,365,637.431643
1.076418,365,637.647349
1.03474,365,637.838327
0.965595,365,638.025809
1.045963,365,638.22881
1.28579,365,639.927806
0.936369,365,640.147862
1.140017,365,640.359578
1.209724,365,640.548117
1.062409,365,640.756706
1.059407,365,640.955842
1.086999,365,642.787799
1.246783,365,642.978645
1.167738,365,643.161727
1.136313,365,643.351714
1.039359,365,643.543201
0.91758,365,644.947863
0.784004,365,645.194118
1.061292,365,645.398569
0.979383,365,645.604599
1.103971,365,645.80353
0.823699,365,646.008983
1.15223,365,648.26107
0.995628,365,648.69227
0.99342,365,649.124297
1.089375,365,649.549171
1.107266,365,649.971208
0.846043,365,650.409784
1.117188,365,652.849923
0.961524,365,653.058295
1.081671,365,653.254388
1.090222,365,653.442477
0.987009,365,653.645241
1.161148,365,655.073094
1.155559,365,655.286244
1.198755,365,655.489841
1.216539,365,655.692927
0.989633,365,655.897508
1.097451,365,656.103483
1.027057,365,658.374454
0.936411,365,658.807905
1.235478,365,659.223243
1.211565,365,659.659549
0.949444,365,660.097212
1.144754,365,662.291418
1.160584,365,662.511941
1.259588,365,662.691941
1.179432,365,662.865683
1.119001,365,663.061654
1.079246,365,663.23836
1.124411,365,664.650876
1.120752,365,664.866822
1.074545,365,665.072523
1.124945,365,665.273978
1.124001,365,665.462362
1.222663,365,665.679127
1.035656,365,668.222268
1.04678,365,668.658391
0.977565,365,669.091848
1.289679,365,669.507228
1.180444,365,669.960012
1.146024,365,672.221127
1.170203,365,672.426027
